epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.542,0.68821,2.51468,1.15804,0.43668,0.96851,0.55963,0.46266,0.52046,4.0921,1.13143,0.000414172,0.000414172,0.000414172
2,245.65,0.66049,1.93699,1.11941,0.47776,0.875,0.61943,0.52183,0.5208,1.76498,1.1138,0.000789712,0.000789712,0.000789712
3,367.685,0.65876,1.76054,1.10024,0.53652,0.88636,0.69014,0.60093,0.51969,1.67734,1.10069,0.001124,0.001124,0.001124
4,489.679,0.67782,1.71527,1.12773,0.48262,0.82955,0.68924,0.60877,0.46623,2.51558,1.05727,0.00106437,0.00106437,0.00106437
5,611.681,0.66239,1.62124,1.09492,0.59114,0.94318,0.81257,0.71669,0.50818,1.28349,1.06124,0.0010025,0.0010025,0.0010025
6,733.649,0.62716,1.54188,1.10696,0.79201,0.87121,0.86653,0.74649,0.54334,1.24638,1.1365,0.000940625,0.000940625,0.000940625
7,855.63,0.60721,1.39854,1.05755,0.98299,0.96237,0.9895,0.89905,0.43015,1.00105,1.0286,0.00087875,0.00087875,0.00087875
8,977.723,0.5992,1.32901,1.05349,0.95364,0.99852,0.99167,0.88769,0.44268,1.15929,1.01986,0.000816875,0.000816875,0.000816875
9,1099.62,0.58607,1.25411,1.05796,0.80491,0.97475,0.94911,0.79918,0.48479,3.50924,1.07407,0.000755,0.000755,0.000755
10,1221.59,0.56343,1.21054,1.03999,0.96125,0.97727,0.99078,0.89754,0.43554,0.70083,1.0297,0.000693125,0.000693125,0.000693125
11,1343.44,0.489,1.43543,1.0205,0.83777,0.92848,0.94301,0.85946,0.42632,1.01029,1.00573,0.00063125,0.00063125,0.00063125
12,1465.3,0.44975,1.33474,0.98368,0.96264,0.92677,0.96803,0.88041,0.4179,0.97746,1.00289,0.000569375,0.000569375,0.000569375
13,1587.18,0.45616,1.23055,0.98944,0.72185,0.83338,0.92027,0.76344,0.45949,2.77243,1.03764,0.0005075,0.0005075,0.0005075
14,1709.09,0.44869,1.19729,0.98431,0.96299,0.99171,0.995,0.91685,0.39613,0.60239,0.96191,0.000445625,0.000445625,0.000445625
15,1831.03,0.4156,1.14869,0.96417,0.98773,0.99938,0.99456,0.92106,0.36747,1.13227,0.94781,0.00038375,0.00038375,0.00038375
16,1952.93,0.41751,1.07459,0.95615,0.95623,0.98854,0.99084,0.92656,0.34779,0.79908,0.93926,0.000321875,0.000321875,0.000321875
17,2074.83,0.40481,1.05421,0.95453,0.97075,0.97727,0.9924,0.90987,0.39463,0.61725,0.96756,0.00026,0.00026,0.00026
18,2196.74,0.38371,1.01557,0.94881,0.97347,0.98864,0.99196,0.91851,0.37261,0.77463,0.95226,0.000198125,0.000198125,0.000198125
19,2318.58,0.38075,1.00191,0.93165,0.96176,0.98864,0.98878,0.90823,0.39393,0.61791,0.97137,0.00013625,0.00013625,0.00013625
20,2440.32,0.37124,0.98996,0.93766,0.97276,0.98864,0.98969,0.91871,0.37018,0.62188,0.94942,7.4375e-05,7.4375e-05,7.4375e-05
